"magnitude","deph","region","datetime","latitude","longitude"
"2.3","5.50","Southern California","Wednesday, May 12, 2010 02:58:17 UTC","32.6780","-115.8456"
"1.7","9.30","Southern California","Wednesday, May 12, 2010 01:26:07 UTC","32.6731","-115.9723"
"1.5","7.20","Southern California","Wednesday, May 12, 2010 00:56:25 UTC","32.6791","-116.0511"
"1.8","2.10","Southern California","Wednesday, May 12, 2010 00:19:18 UTC","32.6983","-115.8538"
"1.9","2.40","Southern California","Wednesday, May 12, 2010 00:15:46 UTC","32.7346","-115.8295"
"1.9","6.20","Southern California","Wednesday, May 12, 2010 00:00:06 UTC","32.6586","-115.8031"
"1.8","4.80","Southern California","Tuesday, May 11, 2010 23:40:33 UTC","32.6730","-115.8195"
"1.8","7.20","Southern California","Tuesday, May 11, 2010 23:39:49 UTC","32.6493","-115.8360"
"2.4","6.10","Southern California","Tuesday, May 11, 2010 23:19:18 UTC","32.6541","-115.8573"
"1.8","3.00","Southern California","Tuesday, May 11, 2010 23:08:57 UTC","32.6463","-115.7635"
"1.5","0.00","Southern California","Tuesday, May 11, 2010 22:24:14 UTC","34.3233","-116.9323"
"1.9","5.60","Southern California","Tuesday, May 11, 2010 21:58:32 UTC","32.8193","-115.9495"
"1.8","4.40","Southern California","Tuesday, May 11, 2010 21:03:06 UTC","32.7063","-115.8931"
"2.1","5.50","Southern California","Tuesday, May 11, 2010 18:27:51 UTC","32.7065","-116.0403"
"2.1","3.90","Southern California","Tuesday, May 11, 2010 16:54:12 UTC","32.7068","-115.8738"
"1.7","3.80","Southern California","Tuesday, May 11, 2010 16:50:44 UTC","32.8076","-115.9586"
"1.7","5.60","Southern California","Tuesday, May 11, 2010 16:35:39 UTC","32.6690","-115.8625"
"1.2","8.70","Southern California","Tuesday, May 11, 2010 16:12:59 UTC","33.4952","-116.5757"
"1.7","6.40","Southern California","Tuesday, May 11, 2010 15:08:50 UTC","32.6726","-115.8988"
"1.3","8.00","Southern California","Tuesday, May 11, 2010 14:36:27 UTC","33.1598","-116.4513"
"1.9","6.50","Southern California","Tuesday, May 11, 2010 14:22:08 UTC","32.6603","-115.8696"
"1.5","10.50","Southern California","Tuesday, May 11, 2010 12:56:05 UTC","33.4598","-116.4735"
"2.5","4.50","Southern California","Tuesday, May 11, 2010 12:41:21 UTC","32.6563","-115.8481"
"1.0","8.50","Southern California","Tuesday, May 11, 2010 11:36:14 UTC","33.5250","-116.4503"
"1.5","5.40","Southern California","Tuesday, May 11, 2010 10:33:30 UTC","32.7046","-115.8693"
"1.4","13.40","Southern California","Tuesday, May 11, 2010 09:58:25 UTC","33.4877","-116.4757"
"1.9","0.00","Southern California","Tuesday, May 11, 2010 09:34:37 UTC","32.7105","-115.8998"
"1.6","5.80","Southern California","Tuesday, May 11, 2010 09:26:52 UTC","32.6985","-115.8715"
"1.7","7.50","Southern California","Tuesday, May 11, 2010 09:17:28 UTC","32.6985","-115.8733"
"2.1","0.00","Southern California","Tuesday, May 11, 2010 09:16:13 UTC","32.6875","-115.9065"
"2.5","10.10","Southern California","Tuesday, May 11, 2010 09:13:27 UTC","32.6518","-115.8623"
"2.6","6.40","Southern California","Tuesday, May 11, 2010 08:54:33 UTC","32.6918","-115.8725"
"1.6","4.50","Southern California","Tuesday, May 11, 2010 08:29:30 UTC","32.6980","-115.9008"
"1.2","10.00","Southern California","Tuesday, May 11, 2010 08:00:55 UTC","32.6710","-115.7977"
"1.2","11.80","Southern California","Tuesday, May 11, 2010 08:00:53 UTC","33.3590","-116.3457"
"1.5","2.00","Southern California","Tuesday, May 11, 2010 07:32:41 UTC","32.7147","-116.0265"
"1.5","5.70","Southern California","Tuesday, May 11, 2010 07:32:41 UTC","32.7218","-116.0083"
"1.0","16.30","Southern California","Tuesday, May 11, 2010 07:16:24 UTC","33.8612","-116.8202"
"1.0","4.80","Southern California","Tuesday, May 11, 2010 07:04:18 UTC","33.2708","-115.7503"
"1.8","8.80","Southern California","Tuesday, May 11, 2010 06:45:26 UTC","32.6465","-115.8073"
"1.4","10.80","Southern California","Tuesday, May 11, 2010 05:21:24 UTC","32.9220","-116.3543"
"1.0","10.00","Southern California","Tuesday, May 11, 2010 05:21:16 UTC","32.6590","-115.8032"
"2.3","0.00","Southern California","Tuesday, May 11, 2010 04:58:31 UTC","32.6558","-115.7950"
"2.0","27.40","Southern California","Tuesday, May 11, 2010 02:03:45 UTC","32.6764","-115.9091"
"1.8","3.80","Southern California","Tuesday, May 11, 2010 00:53:29 UTC","32.6953","-115.9215"
