 time,mag,place
2013-10-11 08:22:02.160Z,4.6,"26km E of Iwaki, Japan"
2013-10-09 22:46:39.650Z,4.7,"47km NNE of Miyako, Japan"
2013-10-09 21:43:44.230Z,4.8,"206km ESE of Hachijo-jima, Japan"
2013-10-08 11:45:20.910Z,4.8,"37km E of Nichinan, Japan"
2013-10-07 14:21:00.580Z,4.2,"29km SE of Haibara, Japan"
2013-10-07 12:38:36.620Z,4.4,"194km ESE of Hasaki, Japan"
2013-10-07 11:59:26.310Z,4.5,"253km S of Hachijo-jima, Japan"
2013-10-06 04:34:23.030Z,4.2,"123km E of Miyako, Japan"
2013-10-05 19:06:21.890Z,4.6,"131km E of Miyako, Japan"
2013-10-04 12:30:47.470Z,4.7,"244km WNW of Chichi-shima, Japan"
2013-10-03 20:35:05.280Z,4.5,"99km E of Ishinomaki, Japan"
2013-10-03 04:23:00.080Z,4.4,"Izu Islands, Japan region"
2013-10-03 00:08:37.060Z,4,"61km SE of Iwaki, Japan"
2013-10-01 16:08:24.680Z,4.5,"11km SW of Shiozawa, Japan"
2013-10-01 16:04:05.040Z,4.4,"66km ESE of Ishinomaki, Japan"
2013-09-30 13:37:39.010Z,4.8,"19km SE of Kitaibaraki, Japan"
2013-09-30 00:11:54.170Z,4.7,"157km W of Iwanai, Japan"
2013-09-28 10:36:58.300Z,4.1,"273km E of Namie, Japan"
2013-09-27 19:37:49.930Z,4.8,"17km SSE of Kushima, Japan"
2013-09-27 18:36:41.680Z,4.7,"17km ENE of Lazo, Russia"
2013-09-27 05:51:35.460Z,4.7,"112km ESE of Hachijo-jima, Japan"
2013-09-26 20:07:26.560Z,4.5,"29km E of Kitaibaraki, Japan"
2013-09-25 17:46:22.790Z,4.4,"82km E of Namie, Japan"
2013-09-25 17:28:03.770Z,4.8,"140km NNE of Chichi-shima, Japan"
2013-09-25 13:11:35.250Z,4.4,"112km NNW of Chichi-shima, Japan"
2013-09-24 22:18:12.440Z,4.1,"103km E of Hachijo-jima, Japan"
2013-09-24 14:07:41.720Z,5.1,"185km WNW of Chichi-shima, Japan"
2013-09-24 13:44:15.440Z,4.8,"151km ESE of Hachijo-jima, Japan"
2013-09-23 22:47:32.630Z,4.3,"25km ESE of Hitachi, Japan"
2013-09-23 16:40:29.380Z,4.8,"Bonin Islands, Japan region"
2013-09-23 08:07:42.820Z,4.2,"94km SE of Toba, Japan"
2013-09-21 20:29:45.890Z,4.6,"79km S of Nishinoomote, Japan"
2013-09-21 20:26:48.640Z,4.8,"72km SSE of Nishinoomote, Japan"
2013-09-21 20:05:45.510Z,4.7,"68km S of Nishinoomote, Japan"
2013-09-21 15:11:23.000Z,4.5,"43km ESE of Owase, Japan"
2013-09-20 06:50:27.660Z,5,"78km S of Nishinoomote, Japan"
2013-09-19 23:23:01.170Z,4.5,"102km SW of Makurazaki, Japan"
2013-09-19 18:00:09.520Z,4.4,"132km E of Miyako, Japan"
2013-09-19 17:25:06.920Z,5.4,"8km WNW of Iwaki, Japan"
2013-09-18 22:44:57.030Z,4.5,"15km SSE of Ishikawa, Japan"
2013-09-18 02:32:19.230Z,4.3,"90km NNW of Hachijo-jima, Japan"
2013-09-18 00:27:46.170Z,5,"65km SE of Ofunato, Japan"
2013-09-16 13:02:19.260Z,4.8,"201km NNE of Chichi-shima, Japan"
2013-09-15 23:52:53.140Z,4.4,"298km WNW of Chichi-shima, Japan"
2013-09-15 17:35:42.140Z,4.7,"74km S of Nishinoomote, Japan"
2013-09-15 13:09:42.440Z,4.6,"236km E of Namie, Japan"
2013-09-15 00:38:34.580Z,4.5,"124km SE of Hasaki, Japan"
2013-09-14 12:42:00.390Z,4.6,"75km SE of Ofunato, Japan"
2013-09-14 08:44:33.280Z,4.7,"32km SSE of Hasaki, Japan"
2013-09-13 11:04:29.880Z,4.6,"144km E of Namie, Japan"
2013-09-13 00:38:22.370Z,4.2,"24km ENE of Owase, Japan"
2013-09-12 23:26:09.670Z,4.2,"20km ESE of Hasaki, Japan"
2013-09-12 19:49:33.690Z,4.5,"20km ESE of Kitaibaraki, Japan"
2013-09-12 06:12:53.780Z,4.5,"60km WNW of Iwanai, Japan"
2013-09-11 07:11:31.870Z,4.9,"61km WNW of Iwanai, Japan"
2013-09-10 03:15:31.000Z,4.5,"24km SE of Iwaki, Japan"
2013-09-09 00:04:20.730Z,4.9,"8km WNW of Hitachi, Japan"
2013-09-08 14:08:47.630Z,4.4,"74km NW of Hachijo-jima, Japan"
2013-09-07 14:38:03.820Z,4.1,"29km E of Oarai, Japan"
2013-09-07 14:19:06.910Z,4.5,"185km SE of Shizunai, Japan"
2013-09-04 20:19:36.700Z,4.4,"20km SE of Ishikawa, Japan"
2013-09-04 00:18:23.370Z,6.5,"Izu Islands, Japan region"
2013-09-03 13:29:04.520Z,4.6,"133km NNE of Chichi-shima, Japan"
2013-09-02 17:22:43.380Z,4.4,"20km SE of Kainan, Japan"
2013-09-02 16:28:22.150Z,4.6,"247km ESE of Ishinomaki, Japan"
2013-09-02 02:51:13.230Z,5.7,"75km SE of Vrangel', Russia"
2013-09-01 10:25:32.550Z,4.5,"129km ESE of Hachijo-jima, Japan"
2013-08-31 23:48:53.410Z,4.7,"157km ENE of Miyako, Japan"
2013-08-31 18:46:08.680Z,4.6,"21km ENE of Hasaki, Japan"
2013-08-31 01:34:51.940Z,4.3,"63km E of Ishinomaki, Japan"
2013-08-30 20:32:11.680Z,4.6,"12km W of Akita-shi, Japan"
